﻿# Buff scan diff
# Old: Spooky @ 2026-05-20T07:20:17.9232119Z
# New: CalamityMod @ 2026-05-20T07:42:31.0337844Z
Change	StableKey	OldPhase	NewPhase	OldFile	NewFile	Note
Removed	Spooky/SpiderBabyBuff	Unknown		Buffs/Minion/SpiderBabyBuff.cs		
Removed	Spooky/SpiderStealthCooldown	Unknown		Buffs/Debuff/SpiderStealthCooldown.cs		
Removed	Spooky/SpiderWarRemoteFlyBuff	Unknown		Buffs/Minion/SpiderWarRemoteFlyBuff.cs		
Removed	Spooky/SpiderWarRemoteNukeBuff	Unknown		Buffs/Minion/SpiderWarRemoteNukeBuff.cs		
Removed	Spooky/SpookFishronMinionBuff	Unknown		Buffs/Minion/SpookFishronMinionBuff.cs		
Removed	Spooky/SpookySpiritPetBuff	CombatVisual		Buffs/Pets/SpookySpiritPetBuff.cs		
Removed	Spooky/SteroidBuff	Unknown		Buffs/SteroidBuff.cs		
Removed	Spooky/SteroidWeakness	Unknown		Buffs/Debuff/SteroidWeakness.cs		
Removed	Spooky/StickyEyeBuff	CombatVisual		Buffs/Pets/StickyEyeBuff.cs		
Removed	Spooky/StitchedCloakCooldown	Unknown		Buffs/Debuff/StitchedCloakCooldown.cs		
Removed	Spooky/StockingMinionBuff	Unknown		Buffs/Minion/StockingMinionBuff.cs		
Removed	Spooky/StrawberryBoostBuff	Stat		Buffs/StrawberryBoostBuff.cs		
Removed	Spooky/TarFlingerSlow	CombatVisual		Buffs/Debuff/TarFlingerSlow.cs		
Removed	Spooky/Tarred	Unknown		Buffs/Debuff/Tarred.cs		
Removed	Spooky/ThornMark	CombatVisual		Buffs/Debuff/ThornMark.cs		
Removed	Spooky/ThornRoseBleed	CombatVisual		Buffs/Debuff/ThornRoseBleed.cs		
Removed	Spooky/TitanoboaWhipDebuff	Unknown		Buffs/WhipDebuff/TitanoboaWhipDebuff.cs		
Removed	Spooky/TortumorMinionBuff	Unknown		Buffs/Minion/TortumorMinionBuff.cs		
Removed	Spooky/TrapdoorSpiderMountBuff	Unknown		Buffs/Mounts/TrapdoorSpiderMountBuff.cs		
Removed	Spooky/TurkeyMountBuff	Unknown		Buffs/Mounts/TurkeyMountBuff.cs		
Removed	Spooky/ValleyNautilusBuff	CombatVisual		Buffs/Pets/ValleyNautilusBuff.cs		
Removed	Spooky/WhipSpiderAggression	Stat		Buffs/Debuff/WhipSpiderAggression.cs		
Removed	Spooky/WingedBiomassBuff	Unknown		Buffs/Minion/WingedBiomassBuff.cs		
Removed	Spooky/YuletideArmorCooldown	Unknown		Buffs/Debuff/YuletideArmorCooldown.cs		
Removed	Spooky/ZombieCultistPetBuff	CombatVisual		Buffs/Pets/ZombieCultistPetBuff.cs		
Added	CalamityMod/AlternateCooldown		Unknown		Buffs/Debuff/AlternateCooldown.cs	
