﻿RegisteredTypeName	ReferenceCount	SampleFiles
Lovestruck	1	Bosses/DeviBoss/DeviSparklingLove.cs
LovestruckBuff	11	Bosses/DeviBoss/DeviBoss.cs|Bosses/DeviBoss/DeviDevilScythe.cs|Bosses/DeviBoss/DeviSparklingLoveSmall.cs|Buffs/Masomode/SadismBuff.cs|Projectiles/Deathrays/DeviBigDeathray.cs
LowGroundBuff	7	Bosses/VanillaEternity/Deerclops.cs|Bosses/VanillaEternity/Golem.cs|Buffs/Masomode/SadismBuff.cs|Items/Accessories/Masomode/ChaliceoftheMoon.cs|Items/Accessories/Masomode/LihzahrdTreasureBox.cs
LowGroundEridanusBuff	2	Bosses/Champions/Cosmos/CosmosVortex.cs|NPCs/EternityModeNPCs/VanillaEnemies/LunarEvents/Vortex/VortexVortex.cs
LunarCultistBuff	1	Items/Accessories/Masomode/ChaliceoftheMoon.cs
MarkedforDeath	1	Projectiles/EModeGlobalProjectile.cs
MarkedforDeathBuff	23	Projectiles/EModeGlobalProjectile.cs|Bosses/DeviBoss/DeviGuardian.cs|Bosses/MutantBoss/MutantGuardian.cs|Bosses/MutantBoss/MutantPillar.cs|Bosses/VanillaEternity/Deerclops.cs
MidasBuff	24	Projectiles/EModeGlobalProjectile.cs|Buffs/Masomode/SadismBuff.cs|Projectiles/Masomode/MimicCoin.cs|Projectiles/Masomode/MimicDagger.cs|Bosses/Champions/Will/WillBomb.cs
MoonBowBuff	1	Projectiles/BossWeapons/MoonBowHeld.cs
MushroomPowerBuff	1	Items/FargoGlobalItem.cs
MutantDesperationBuff	1	Bosses/MutantBoss/MutantBoss.cs
MutantFang	1	Projectiles/EModeGlobalProjectile.cs
MutantFangBuff	46	Projectiles/EModeGlobalProjectile.cs|Bosses/MutantBoss/MutantBomb.cs|Bosses/MutantBoss/MutantBoss.cs|Bosses/MutantBoss/MutantCrystalLeaf.cs|Bosses/MutantBoss/MutantDeathray1.cs
MutantNibble	5	Bosses/AbomBoss/AbomBoss.cs|Bosses/AbomBoss/AbomStyxGazer.cs|Projectiles/BossWeapons/FishNuke.cs|Projectiles/BossWeapons/FishNukeExplosion.cs|Projectiles/Deathrays/DeviBigDeathray.cs
MutantNibbleBuff	30	Projectiles/GiantDeathray.cs|Projectiles/SpectralAbominationn.cs|Bosses/AbomBoss/AbomBoss.cs|Bosses/AbomBoss/AbomSaucer.cs|Bosses/DeviBoss/DeviDevilScythe.cs
MutantPowerBuff	1	Items/Armor/MutantMask.cs
MutantPresenceBuff	2	Bosses/MutantBoss/MutantBoss.cs|Bosses/VanillaEternity/DukeFishron.cs
MutantSpawnBuff	1	Items/Pets/SpawnSack.cs
NanoInjectionBuff	6	Bosses/VanillaEternity/SkeletronPrime.cs|Buffs/Masomode/SadismBuff.cs|Projectiles/Masomode/MechElectricOrb.cs|Projectiles/Masomode/PrimeGuardian.cs|Items/Accessories/Masomode/ReinforcedPlating.cs
NebulaBuff	1	Items/Misc/Boosters.cs
NeurotoxinBuff	1	Buffs/Masomode/IvyVenomBuff.cs
NibbleBuff	1	Items/Pets/HokeyBall.cs
NullificationCurseBuff	5	Bosses/VanillaEternity/MoonLord.cs|Buffs/Masomode/SadismBuff.cs|Items/Accessories/Masomode/GalacticGlobe.cs|Items/Accessories/Masomode/HeartoftheMasochist.cs|Items/Accessories/Souls/MasochistSoul.cs
ObsidianLavaWetBuff	1	Items/Accessories/Enchantments/ObsidianEnchant.cs
OceanicMaul	5	Projectiles/AbomScytheFriendly.cs|Projectiles/SpectralAbominationn.cs|Projectiles/BossWeapons/FishNuke.cs|Projectiles/BossWeapons/FishNukeExplosion.cs|Projectiles/BossWeapons/RazorbladeTyphoonFriendly.cs
OceanicMaulBuff	49	Projectiles/EModeGlobalProjectile.cs|Bosses/AbomBoss/AbomBoss.cs|Bosses/AbomBoss/AbomSaucer.cs|Bosses/BanishedBaron/BanishedBaron.cs|Bosses/BanishedBaron/BaronNuke.cs
OceanicSealBuff	1	Bosses/VanillaEternity/DukeFishron.cs
OiledBuff	5	Bosses/VanillaEternity/Twins.cs|Buffs/Masomode/SadismBuff.cs|Items/Accessories/Enchantments/AshWoodEnchant.cs|Items/Accessories/Souls/MasochistSoul.cs|NPCs/EternityModeNPCs/VanillaEnemies/Hell/LavaSlime.cs
PlanterasChildBuff	1	Items/Accessories/Masomode/MagicalBulb.cs
PrimeMinionBuff	1	Patreon/Purified/PrimeStaff.cs
ProbesBuff	1	Items/Accessories/Masomode/GroundStick.cs
PungentGazeBuff	1	Items/Accessories/Masomode/PungentEyeball.cs
PurgedBuff	2	Bosses/MutantBoss/MutantBoss.cs|Bosses/VanillaEternity/EmpressofLight.cs
PurifiedBuff	19	Projectiles/EModeGlobalProjectile.cs|Bosses/Lifelight/LifeChalBlasterDeathray.cs|Bosses/Lifelight/LifeChalDeathray.cs|Bosses/VanillaEternity/EmpressofLight.cs|Bosses/VanillaEternity/LunaticCultist.cs
RainCDBuff	2	Projectiles/Souls/RainUmbrella.cs|Items/Accessories/Enchantments/RainEnchant.cs
ReverseManaFlowBuff	9	Bosses/MutantBoss/MutantFragment.cs|Bosses/MutantBoss/MutantPillar.cs|Buffs/Masomode/SadismBuff.cs|Projectiles/Masomode/CelestialFragment.cs|Projectiles/Masomode/CelestialPillar.cs
ROBBuff	1	Patreon/DanielTheRobot/ROBGyro.cs
RoombaPetBuff	1	Patreon/Gittle/RoombaPet.cs
Rotting	2	Bosses/AbomBoss/AbomScytheFlaming.cs|Projectiles/Deathrays/DeviBigDeathray.cs
RottingBuff	16	Projectiles/EModeGlobalProjectile.cs|Bosses/DeviBoss/DeviDevilScythe.cs|Bosses/DeviBoss/DeviSparklingLoveSmall.cs|Bosses/VanillaEternity/EaterofWorlds.cs|Bosses/VanillaEternity/Pumpking.cs
SadismBuff	3	Bosses/MutantBoss/MutantBoss.cs|Bosses/MutantBoss/MutantIllusion.cs|Bosses/VanillaEternity/DukeFishron.cs
SaucerMinionBuff	1	Items/Accessories/Masomode/SaucerControlConsole.cs
SeekerOfTreasuresBuff	1	Items/Pets/MostlyOrdinaryRock.cs
Shadowflame	1	NPCs/EternityModeNPCs/VanillaEnemies/GoblinInvasion/GoblinSummoner.cs
ShadowflameBuff	22	Projectiles/EModeGlobalProjectile.cs|Bosses/CursedCoffin/CoffinDarkSouls.cs|Bosses/CursedCoffin/CoffinWaveShot.cs|Bosses/VanillaEternity/EyeOfCthulhu.cs|Bosses/VanillaEternity/LunaticCultist.cs
ShellHideBuff	1	Items/Accessories/Enchantments/TurtleEnchant.cs
SkeletronArmsBuff	1	Items/Accessories/Masomode/NecromanticBrew.cs
SmiteBuff	11	Projectiles/EModeGlobalProjectile.cs|Bosses/Lifelight/LifeChalBlasterDeathray.cs|Bosses/Lifelight/LifeChalDeathray.cs|Bosses/Lifelight/LifeChallenger.cs|Bosses/VanillaEternity/EmpressofLight.cs
SolarBuff	1	Items/Misc/Boosters.cs
SolarFlareBuff	1	Projectiles/Souls/SolarEnchFlare.cs
SouloftheMasochistBuff	1	Items/Accessories/Souls/MasochistSoul.cs
SqueakyToy	1	Projectiles/Masomode/FishronBubble.cs
SqueakyToyBuff	11	Buffs/Masomode/MutantNibbleBuff.cs|Buffs/Masomode/SadismBuff.cs|NPCs/EternityModeNPCs/DetonatingBubbleEX.cs|NPCs/EternityModeNPCs/DetonatingBubbleNPC.cs|Items/Accessories/Souls/MasochistSoul.cs
StardustBuff	1	Items/Misc/Boosters.cs
Stunned	1	Projectiles/Deathrays/DeviBigDeathray.cs
StunnedBuff	15	Buffs/BerserkerInstallBuff.cs|Buffs/FargoGlobalBuff.cs|Projectiles/EModeGlobalProjectile.cs|Bosses/CursedCoffin/CoffinHand.cs|Bosses/MutantBoss/MutantPillar.cs
SublimationBuff	2	Projectiles/CreeperHitbox.cs|Items/Accessories/Masomode/DarkenedHeart.cs
SuperBleedBuff	1	Items/Accessories/Enchantments/ShadewoodEnchant.cs
SuperchargedBuff	1	Items/Accessories/Masomode/GroundStick.cs
SwarmingBuff	12	Projectiles/EModeGlobalProjectile.cs|Bosses/VanillaEternity/QueenBee.cs|Buffs/Masomode/SadismBuff.cs|NPCs/EternityModeNPCs/RoyalSubject.cs|Projectiles/Masomode/Bee.cs
TimeFrozenBuff	11	Buffs/FargoGlobalBuff.cs|Projectiles/CirnoBomb.cs|Bosses/CursedCoffin/CursedCoffin.cs|Bosses/MutantBoss/MutantBoss.cs|Bosses/MutantBoss/MutantIllusion.cs
TimeStopCDBuff	3	Bosses/AbomBoss/AbomBoss.cs|Bosses/MutantBoss/MutantBoss.cs|Items/Accessories/Enchantments/StardustEnchant.cs
TitaniumDRBuff	1	Items/Accessories/Enchantments/TitaniumEnchant.cs
TouhouHoardBuff	1	Patreon/Tiger/TouhouStaff.cs
TribalCharmClickBuff	1	Items/Accessories/Masomode/TribalCharm.cs
TrojanSquirrelMountBuff	1	Items/Mounts/TrojanSquirrelMount.cs
TrueEyesBuff	1	Items/Accessories/Masomode/GalacticGlobe.cs
TwinsEXBuff	1	Items/Weapons/SwarmDrops/OpticStaffEX.cs
UnluckyBuff	11	Buffs/Masomode/SadismBuff.cs|Items/Accessories/Masomode/SinisterIcon.cs|Items/Accessories/Souls/MasochistSoul.cs|NPCs/EternityModeNPCs/VanillaEnemies/Gnome.cs|NPCs/EternityModeNPCs/VanillaEnemies/BloodMoon/ChatteringTeethBomb.cs
Unstable	7	Bosses/AbomBoss/AbomBoss.cs|Bosses/AbomBoss/AbomRitual.cs|Bosses/AbomBoss/AbomRitualFTW.cs|Bosses/AbomBoss/AbomRitualMaso.cs|Bosses/AbomBoss/AbomScytheSpin.cs
UnstableBuff	9	Projectiles/EModeGlobalProjectile.cs|Buffs/Masomode/MutantNibbleBuff.cs|Buffs/Masomode/SadismBuff.cs|Projectiles/Deathrays/PhantasmalDeathrayWOF.cs|Items/Accessories/Masomode/GalacticGlobe.cs
VortexBuff	1	Items/Misc/Boosters.cs
WitheredBuff	1	Items/Accessories/Enchantments/EbonwoodEnchant.cs
WitheredWizardBuff	1	Items/Accessories/Enchantments/EbonwoodEnchant.cs
