﻿RegisteredTypeName	ReferenceCount	SampleFiles
MutantNibbleBuff	40	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBlast.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomSaucer.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviDevilScythe.cs
MutantPowerBuff	1	FargowiltasSouls.Content.Items.Armor/MutantMask.cs
MutantPresenceBuff	4	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantBoss.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/DukeFishron.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
MutantRebirthBuff	1	FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
MutantSpawnBuff	1	FargowiltasSouls.Content.Items.Pets/SpawnSack.cs
NanoInjectionBuff	9	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/PrimeLimb.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/SkeletronPrime.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/DubiousCircuitry.cs
NebulaBuff	1	FargowiltasSouls.Content.Items.Misc/NebulaBooster.cs
NeurotoxinBuff	3	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Buffs.Masomode/IvyVenomBuff.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
NibbleBuff	1	FargowiltasSouls.Content.Items.Pets/HokeyBall.cs
NullificationCurseBuff	7	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/MoonLord.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/MoonLordCore.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/GalacticGlobe.cs
ObsidianLavaWetBuff	1	FargowiltasSouls.Content.Items.Accessories.Enchantments/ObsidianEnchant.cs
OceanicMaulBuff	51	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomSaucer.cs|FargowiltasSouls.Content.Bosses.BanishedBaron/BanishedBaron.cs|FargowiltasSouls.Content.Bosses.BanishedBaron/BaronNuke.cs
OceanicSealBuff	2	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/DukeFishron.cs
OiledBuff	6	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/Retinazer.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Enchantments/AshWoodEffect.cs|FargowiltasSouls.Content.Items.Accessories.Souls/MasochistSoul.cs
OriPoisonBuff	1	FargowiltasSouls.Content.Items.Accessories.Enchantments/OrichalcumEffect.cs
PlanterasChildBuff	1	FargowiltasSouls.Content.Items.Accessories.Masomode/PlantMinionEffect.cs
